detector,year,known_n,selected_n,precision,base_rate,lift
REVERSAL_21,2017,617,128,0.296875,0.20745542949756887,1.4310302734375
REVERSAL_21,2018,627,123,0.34146341463414637,0.37320574162679426,0.9149468417761101
REVERSAL_21,2019,575,108,0.23148148148148148,0.19130434782608696,1.210016835016835
REVERSAL_21,2020,575,113,0.2920353982300885,0.2539130434782609,1.1501394108376772
REVERSAL_21,2021,598,118,0.09322033898305085,0.07190635451505016,1.2964130863224281
REVERSAL_21,2022,663,135,0.16296296296296298,0.12066365007541478,1.3505555555555557
REVERSAL_21,2023,646,123,0.17886178861788618,0.18885448916408668,0.9470878315340531
REVERSAL_21,2024,602,119,0.24369747899159663,0.1893687707641196,1.2868937048503613
REVERSAL_21,2025,343,71,0.2112676056338028,0.282798833819242,0.7470596776535502
VOLUME_SURGE,2017,617,105,0.21904761904761905,0.20745542949756887,1.0558779761904762
VOLUME_SURGE,2018,627,125,0.328,0.37320574162679426,0.8788717948717949
VOLUME_SURGE,2019,575,94,0.23404255319148937,0.19130434782608696,1.2234042553191489
VOLUME_SURGE,2020,575,103,0.27184466019417475,0.2539130434782609,1.0706210932304827
VOLUME_SURGE,2021,598,115,0.06086956521739131,0.07190635451505016,0.8465116279069769
VOLUME_SURGE,2022,663,133,0.08270676691729323,0.12066365007541478,0.6854323308270677
VOLUME_SURGE,2023,646,125,0.192,0.18885448916408668,1.0166557377049181
VOLUME_SURGE,2024,602,115,0.22608695652173913,0.1893687707641196,1.1938977879481312
VOLUME_SURGE,2025,343,56,0.25,0.282798833819242,0.884020618556701
