episode_id,ticker,detector,signal_asof,months_relative_to_episode_start,rank,percentile,score,selected,outcome
ABEV3-0004,ABEV3,LOW_VOL_252,2020-12-30,2,11,0.18333333333333332,0.02900116452569551,true,false
ABEV3-0004,ABEV3,LOW_VOL_252,2021-01-29,3,11,0.18333333333333332,0.029400414316484207,true,false
ABEV3-0004,ABEV3,MOMENTUM_12_1,2020-07-31,-3,52,0.8666666666666667,-0.27474747474747485,false,false
ABEV3-0004,ABEV3,MOMENTUM_12_1,2020-08-31,-2,49,0.8166666666666667,-0.1956882255389718,false,true
ABEV3-0004,ABEV3,MOMENTUM_12_1,2020-09-30,-1,54,0.9,-0.3410852713178295,false,false
ABEV3-0004,ABEV3,MOMENTUM_12_1,2020-10-30,0,48,0.8,-0.33886509635974305,false,true
ABEV3-0004,ABEV3,MOMENTUM_12_1,2020-11-30,1,42,0.7,-0.2649807586586037,false,false
ABEV3-0004,ABEV3,MOMENTUM_12_1,2020-12-30,2,45,0.75,-0.2374405076679006,false,false
ABEV3-0004,ABEV3,MOMENTUM_12_1,2021-01-29,3,38,0.6333333333333333,-0.18635170603674545,false,false
ABEV3-0004,ABEV3,MOMENTUM_6_1,2020-07-31,-3,38,0.6333333333333333,-0.2361702127659575,false,false
ABEV3-0004,ABEV3,MOMENTUM_6_1,2020-08-31,-2,26,0.43333333333333335,0.0006877579092161579,false,true
ABEV3-0004,ABEV3,MOMENTUM_6_1,2020-09-30,-1,52,0.8666666666666667,0.015936254980079667,false,false
ABEV3-0004,ABEV3,MOMENTUM_6_1,2020-10-30,0,28,0.4666666666666667,0.08906525573192248,false,true
ABEV3-0004,ABEV3,MOMENTUM_6_1,2020-11-30,1,25,0.4166666666666667,0.07131410256410242,false,false
ABEV3-0004,ABEV3,MOMENTUM_6_1,2020-12-30,2,36,0.6,0.011220196353436185,false,false
ABEV3-0004,ABEV3,MOMENTUM_6_1,2021-01-29,3,34,0.5666666666666667,0.03817816476892166,false,false
ABEV3-0004,ABEV3,MOMENTUM_LOW_VOL,2020-07-31,-3,,,,false,false
ABEV3-0004,ABEV3,MOMENTUM_LOW_VOL,2020-08-31,-2,,,,false,true
ABEV3-0004,ABEV3,MOMENTUM_LOW_VOL,2020-09-30,-1,,,,false,false
ABEV3-0004,ABEV3,MOMENTUM_LOW_VOL,2020-10-30,0,,,,false,true
ABEV3-0004,ABEV3,MOMENTUM_LOW_VOL,2020-11-30,1,,,,false,false
ABEV3-0004,ABEV3,MOMENTUM_LOW_VOL,2020-12-30,2,,,,false,false
ABEV3-0004,ABEV3,MOMENTUM_LOW_VOL,2021-01-29,3,,,,false,false
ABEV3-0004,ABEV3,REVERSAL_21,2020-07-31,-3,13,0.21666666666666667,0.013231197771587766,false,false
ABEV3-0004,ABEV3,REVERSAL_21,2020-08-31,-2,7,0.11666666666666667,-0.12371134020618557,true,true
ABEV3-0004,ABEV3,REVERSAL_21,2020-09-30,-1,51,0.85,-0.03137254901960784,false,false
ABEV3-0004,ABEV3,REVERSAL_21,2020-10-30,0,40,0.6666666666666666,0.043724696356275405,false,true
ABEV3-0004,ABEV3,REVERSAL_21,2020-11-30,1,23,0.38333333333333336,0.07105459985041152,false,false
ABEV3-0004,ABEV3,REVERSAL_21,2020-12-30,2,48,0.8,0.10610263522884877,false,false
ABEV3-0004,ABEV3,REVERSAL_21,2021-01-29,3,31,0.5166666666666667,0.002580645161290196,false,false
ABEV3-0004,ABEV3,VOLUME_SURGE,2020-07-31,-3,16,0.26666666666666666,0.27615904326985974,false,false
ABEV3-0004,ABEV3,VOLUME_SURGE,2020-08-31,-2,39,0.65,0.021804883590091473,false,true
ABEV3-0004,ABEV3,VOLUME_SURGE,2020-09-30,-1,48,0.8,-0.10857107409711275,false,false
ABEV3-0004,ABEV3,VOLUME_SURGE,2020-10-30,0,27,0.45,-0.042908393547314794,false,true
ABEV3-0004,ABEV3,VOLUME_SURGE,2020-11-30,1,26,0.43333333333333335,0.1824387633713651,false,false
ABEV3-0004,ABEV3,VOLUME_SURGE,2020-12-30,2,18,0.3,0.1310836781356901,false,false
ABEV3-0004,ABEV3,VOLUME_SURGE,2021-01-29,3,40,0.6666666666666666,-0.08224802304184176,false,false
ABEV3-0005,ABEV3,52W_HIGH,2024-10-31,-3,18,0.3,0.8795918367346939,false,false
ABEV3-0005,ABEV3,52W_HIGH,2024-11-29,-2,19,0.31666666666666665,0.8435374149659864,false,false
ABEV3-0005,ABEV3,52W_HIGH,2024-12-30,-1,11,0.18333333333333332,0.8370319001386963,true,false
ABEV3-0005,ABEV3,52W_HIGH,2025-01-31,0,28,0.4666666666666667,0.7704576976421637,false,true
ABEV3-0005,ABEV3,52W_HIGH,2025-02-28,1,16,0.26666666666666666,0.854368932038835,false,false
ABEV3-0005,ABEV3,52W_HIGH,2025-03-31,2,10,0.16666666666666666,0.9313453536754508,true,false
ABEV3-0005,ABEV3,52W_HIGH,2025-04-30,3,1,0.016666666666666666,1.0,true,false
ABEV3-0005,ABEV3,LOW_VOL_252,2024-10-31,-3,7,0.11666666666666667,0.01244255305422218,true,false
ABEV3-0005,ABEV3,LOW_VOL_252,2024-11-29,-2,7,0.11666666666666667,0.01229064398405447,true,false
ABEV3-0005,ABEV3,LOW_VOL_252,2024-12-30,-1,8,0.13333333333333333,0.01292547692871985,true,false
ABEV3-0005,ABEV3,LOW_VOL_252,2025-01-31,0,9,0.15,0.013555171108819257,true,true
ABEV3-0005,ABEV3,LOW_VOL_252,2025-02-28,1,10,0.16666666666666666,0.01430733213306888,true,false
ABEV3-0005,ABEV3,LOW_VOL_252,2025-03-31,2,9,0.15,0.014151477018774852,true,false
ABEV3-0005,ABEV3,LOW_VOL_252,2025-04-30,3,9,0.15,0.014421524843493395,true,false
ABEV3-0005,ABEV3,MOMENTUM_12_1,2024-10-31,-3,29,0.48333333333333334,0.10032362459546929,false,false
ABEV3-0005,ABEV3,MOMENTUM_12_1,2024-11-29,-2,32,0.5333333333333333,-0.0556776556776557,false,false
ABEV3-0005,ABEV3,MOMENTUM_12_1,2024-12-30,-1,30,0.5,-0.08424110384894701,false,false
ABEV3-0005,ABEV3,MOMENTUM_12_1,2025-01-31,0,26,0.43333333333333335,-0.11396226415094335,false,true
ABEV3-0005,ABEV3,MOMENTUM_12_1,2025-02-28,1,34,0.5666666666666667,-0.18438661710037163,false,false
ABEV3-0005,ABEV3,MOMENTUM_12_1,2025-03-31,2,29,0.48333333333333334,-0.10636583400483479,false,false
ABEV3-0005,ABEV3,MOMENTUM_12_1,2025-04-30,3,12,0.2,0.11794019933554822,true,false
ABEV3-0005,ABEV3,MOMENTUM_6_1,2024-10-31,-3,18,0.3,0.09236947791164662,false,false
ABEV3-0005,ABEV3,MOMENTUM_6_1,2024-11-29,-2,18,0.3,0.11601731601731591,false,false
ABEV3-0005,ABEV3,MOMENTUM_6_1,2024-12-30,-1,19,0.31666666666666665,0.10517090271691498,false,false
ABEV3-0005,ABEV3,MOMENTUM_6_1,2025-01-31,0,12,0.2,0.00859106529209619,true,true
ABEV3-0005,ABEV3,MOMENTUM_6_1,2025-02-28,1,33,0.55,-0.15809669992325392,false,false
ABEV3-0005,ABEV3,MOMENTUM_6_1,2025-03-31,2,36,0.6,-0.1301960784313726,false,false
ABEV3-0005,ABEV3,MOMENTUM_6_1,2025-04-30,3,17,0.2833333333333333,0.049103663289166155,false,false
ABEV3-0005,ABEV3,MOMENTUM_LOW_VOL,2024-10-31,-3,,,,false,false
ABEV3-0005,ABEV3,MOMENTUM_LOW_VOL,2024-11-29,-2,,,,false,false
ABEV3-0005,ABEV3,MOMENTUM_LOW_VOL,2024-12-30,-1,,,,false,false
ABEV3-0005,ABEV3,MOMENTUM_LOW_VOL,2025-01-31,0,,,,false,true
ABEV3-0005,ABEV3,MOMENTUM_LOW_VOL,2025-02-28,1,,,,false,false
ABEV3-0005,ABEV3,MOMENTUM_LOW_VOL,2025-03-31,2,,,,false,false
ABEV3-0005,ABEV3,MOMENTUM_LOW_VOL,2025-04-30,3,7,0.2916666666666667,-0.014421524843493395,false,false
ABEV3-0005,ABEV3,REVERSAL_21,2024-10-31,-3,16,0.26666666666666666,-0.04926470588235299,false,false
ABEV3-0005,ABEV3,REVERSAL_21,2024-11-29,-2,41,0.6833333333333333,-0.0380139643134213,false,false
ABEV3-0005,ABEV3,REVERSAL_21,2024-12-30,-1,52,0.8666666666666667,-0.04282315622521804,false,false
ABEV3-0005,ABEV3,REVERSAL_21,2025-01-31,0,7,0.11666666666666667,-0.053662691652470285,true,true
ABEV3-0005,ABEV3,REVERSAL_21,2025-02-28,1,56,0.9333333333333333,0.1230628988149498,false,false
ABEV3-0005,ABEV3,REVERSAL_21,2025-03-31,2,56,0.9333333333333333,0.21100090171325525,false,false
ABEV3-0005,ABEV3,REVERSAL_21,2025-04-30,3,35,0.5833333333333334,0.07800891530460619,false,false
ABEV3-0005,ABEV3,VOLUME_SURGE,2024-10-31,-3,17,0.2833333333333333,0.053247515400286716,false,false
ABEV3-0005,ABEV3,VOLUME_SURGE,2024-11-29,-2,31,0.5166666666666667,0.07744529530452393,false,false
ABEV3-0005,ABEV3,VOLUME_SURGE,2024-12-30,-1,3,0.05,0.6508984682994163,true,false
ABEV3-0005,ABEV3,VOLUME_SURGE,2025-01-31,0,8,0.13333333333333333,0.05101044411470346,true,true
ABEV3-0005,ABEV3,VOLUME_SURGE,2025-02-28,1,31,0.5166666666666667,-0.050192706426091305,false,false
ABEV3-0005,ABEV3,VOLUME_SURGE,2025-03-31,2,12,0.2,0.29508997939486625,true,false
ABEV3-0005,ABEV3,VOLUME_SURGE,2025-04-30,3,14,0.23333333333333334,0.34048883141204134,false,false
ABEV3-0006,ABEV3,52W_HIGH,2025-04-30,-3,1,0.016666666666666666,1.0,true,false
ABEV3-0006,ABEV3,52W_HIGH,2025-05-30,-2,18,0.3,0.9649965682910089,false,false
ABEV3-0006,ABEV3,52W_HIGH,2025-06-30,-1,27,0.45,0.9025394646533974,false,false
ABEV3-0006,ABEV3,52W_HIGH,2025-07-31,0,18,0.3,0.9025394646533974,false,true
ABEV3-0006,ABEV3,LOW_VOL_252,2025-04-30,-3,9,0.15,0.014421524843493395,true,false
ABEV3-0006,ABEV3,LOW_VOL_252,2025-05-30,-2,8,0.13333333333333333,0.01429335795863843,true,false
ABEV3-0006,ABEV3,LOW_VOL_252,2025-06-30,-1,8,0.13333333333333333,0.014298027606708156,true,false
ABEV3-0006,ABEV3,LOW_VOL_252,2025-07-31,0,11,0.18333333333333332,0.014641176706058481,true,true
ABEV3-0006,ABEV3,MOMENTUM_12_1,2025-04-30,-3,12,0.2,0.11794019933554822,true,false
ABEV3-0006,ABEV3,MOMENTUM_12_1,2025-05-30,-2,11,0.18333333333333332,0.22240943555181136,true,false
