ticker,event_id,ex_date,payment_date,value_per_share,source
ENGI3,B3-RI:eb334b751f4a9e951c47aa359e0a9f86,2016-03-01,2016-03-08,0.0572,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D28:J28
ENGI3,B3-RI:885b4f9eb617d4794317c6a621987c00,2021-08-18,2021-09-29,0.13,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D46:J46
ENGI3,B3-RI:01fec68c0aaf8377451168ec275a01df,2022-01-03,2022-03-02,0.44,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D47:J47
ENGI3,B3-RI:0b5a8a9b407b77dee7ef21d7da6c66e3,2022-08-24,2022-09-01,0.232,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D49:J49
ENGI3,B3-RI:ea54c6ea26c909227eac5f71d593684d,2023-03-22,2023-03-30,0.16,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D50:J50
ENGI3,B3-RI:cb578485fd44b4d831de6fa19bb7586a,2023-08-16,2023-08-29,0.14,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D52:J52
ENGI3,B3-RI:77007eabbc5e82cefc95b8dee005adce,2024-01-02,2024-01-12,0.2,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D53:J53
ENGI3,B3-RI:124ae1a63ff029c36f4a08604ebcb98e,2024-08-13,2024-08-28,0.2,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D55:J55
ENGI3,B3-RI:c79ab12ad25d0e260b6489cda87caf3c,2025-02-26,2025-03-28,0.38,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D56:J56
ENGI3,B3-RI:7d07575ccfde2102b079fd52bd3ebe46,2025-08-13,2025-09-26,0.2,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D58:J58
ENGI3,B3-RI:9595f6ae1258c4cbef66977ad49b6ced,2025-11-27,2025-12-19,0.14023106424,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D59:J59
